# Assembly name:  ASM1834038v1
# Organism name:  Cyprinus carpio (common carp)
# Isolate:  SPL01
# Taxid:          7962
# BioSample:      SAMN17005855
# BioProject:     PRJNA682709
# Submitter:      Chinese Academy of Fishery Sciences
# Date:           2021-05-12
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JAEOAB01
# Assembly method: wtdbg v. 2; quickmerge v. 1
# Expected final version: Yes
# Genome coverage: 184.8x
# Sequencing technology: PacBio; Oxford Nanopore; Illumina HiSeq
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_018340385.1
# RefSeq assembly accession: GCF_018340385.1
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_018340415.1	GCF_018340415.1	Primary Assembly
## GCA_018340445.1	GCF_000029015.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
B8	assembled-molecule	B8	Chromosome	CM031293.1	=	NC_056604.1	Primary Assembly	29221401	na
B9	assembled-molecule	B9	Chromosome	CM031294.1	=	NC_056605.1	Primary Assembly	34063200	na
B10	assembled-molecule	B10	Chromosome	CM031271.1	=	NC_056606.1	Primary Assembly	24790803	na
B11	assembled-molecule	B11	Chromosome	CM031272.1	=	NC_056607.1	Primary Assembly	24701381	na
B12	assembled-molecule	B12	Chromosome	CM031273.1	=	NC_056608.1	Primary Assembly	26437327	na
B13	assembled-molecule	B13	Chromosome	CM031274.1	=	NC_056609.1	Primary Assembly	31841649	na
B14	assembled-molecule	B14	Chromosome	CM031275.1	=	NC_056610.1	Primary Assembly	27457767	na
B15	assembled-molecule	B15	Chromosome	CM031276.1	=	NC_056611.1	Primary Assembly	29072104	na
B16	assembled-molecule	B16	Chromosome	CM031277.1	=	NC_056612.1	Primary Assembly	30612910	na
B17	assembled-molecule	B17	Chromosome	CM031278.1	=	NC_056613.1	Primary Assembly	28741886	na
B18	assembled-molecule	B18	Chromosome	CM031279.1	=	NC_056614.1	Primary Assembly	27906327	na
B19	assembled-molecule	B19	Chromosome	CM031280.1	=	NC_056615.1	Primary Assembly	32052705	na
B20	assembled-molecule	B20	Chromosome	CM031282.1	=	NC_056616.1	Primary Assembly	30677930	na
B21	assembled-molecule	B21	Chromosome	CM031283.1	=	NC_056617.1	Primary Assembly	20763676	na
B22	assembled-molecule	B22	Chromosome	CM031284.1	=	NC_056618.1	Primary Assembly	36154487	na
B23	assembled-molecule	B23	Chromosome	CM031285.1	=	NC_056619.1	Primary Assembly	27667832	na
B24	assembled-molecule	B24	Chromosome	CM031286.1	=	NC_056620.1	Primary Assembly	24375737	na
B25	assembled-molecule	B25	Chromosome	CM031287.1	=	NC_056621.1	Primary Assembly	24466304	na
S000000001	unplaced-scaffold	na	na	JAEOAB010000050.1	=	NW_024872754.1	Primary Assembly	1902012	na
S000000002	unplaced-scaffold	na	na	JAEOAB010000051.1	=	NW_024872755.1	Primary Assembly	63188	na
S000000003	unplaced-scaffold	na	na	JAEOAB010000052.1	=	NW_024872756.1	Primary Assembly	23995	na
S000000004	unplaced-scaffold	na	na	JAEOAB010000053.1	=	NW_024872757.1	Primary Assembly	413805	na
S000000005	unplaced-scaffold	na	na	JAEOAB010000054.1	=	NW_024872758.1	Primary Assembly	1226	na
S000000006	unplaced-scaffold	na	na	JAEOAB010000055.1	=	NW_024872759.1	Primary Assembly	708149	na
S000000007	unplaced-scaffold	na	na	JAEOAB010000056.1	=	NW_024872760.1	Primary Assembly	43015	na
S000000008	unplaced-scaffold	na	na	JAEOAB010000057.1	=	NW_024872761.1	Primary Assembly	86324	na
S000000009	unplaced-scaffold	na	na	JAEOAB010000058.1	=	NW_024872762.1	Primary Assembly	2196	na
S000000010	unplaced-scaffold	na	na	JAEOAB010000059.1	=	NW_024872763.1	Primary Assembly	2074	na
S000000011	unplaced-scaffold	na	na	JAEOAB010000060.1	=	NW_024872764.1	Primary Assembly	2267	na
S000000012	unplaced-scaffold	na	na	JAEOAB010000061.1	=	NW_024872765.1	Primary Assembly	2012	na
S000000013	unplaced-scaffold	na	na	JAEOAB010000062.1	=	NW_024872766.1	Primary Assembly	3342	na
S000000014	unplaced-scaffold	na	na	JAEOAB010000063.1	=	NW_024872767.1	Primary Assembly	1730	na
S000000015	unplaced-scaffold	na	na	JAEOAB010000064.1	=	NW_024872768.1	Primary Assembly	2219	na
S000000016	unplaced-scaffold	na	na	JAEOAB010000065.1	=	NW_024872769.1	Primary Assembly	2006	na
S000000017	unplaced-scaffold	na	na	JAEOAB010000066.1	=	NW_024872770.1	Primary Assembly	2133	na
S000000018	unplaced-scaffold	na	na	JAEOAB010000067.1	=	NW_024872771.1	Primary Assembly	1715	na
S000000019	unplaced-scaffold	na	na	JAEOAB010000068.1	=	NW_024872772.1	Primary Assembly	1738	na
S000000020	unplaced-scaffold	na	na	JAEOAB010000069.1	=	NW_024872773.1	Primary Assembly	4349	na
S000000021	unplaced-scaffold	na	na	JAEOAB010000070.1	=	NW_024872774.1	Primary Assembly	1890	na
S000000022	unplaced-scaffold	na	na	JAEOAB010000071.1	=	NW_024872775.1	Primary Assembly	8667	na
S000000023	unplaced-scaffold	na	na	JAEOAB010000072.1	=	NW_024872776.1	Primary Assembly	7038	na
S000000024	unplaced-scaffold	na	na	JAEOAB010000073.1	=	NW_024872777.1	Primary Assembly	50667	na
S000000025	unplaced-scaffold	na	na	JAEOAB010000074.1	=	NW_024872778.1	Primary Assembly	24297	na
S000000026	unplaced-scaffold	na	na	JAEOAB010000075.1	=	NW_024872779.1	Primary Assembly	26828	na
S000000027	unplaced-scaffold	na	na	JAEOAB010000076.1	=	NW_024872780.1	Primary Assembly	28429	na
S000000028	unplaced-scaffold	na	na	JAEOAB010000077.1	=	NW_024872781.1	Primary Assembly	10273	na
S000000029	unplaced-scaffold	na	na	JAEOAB010000078.1	=	NW_024872782.1	Primary Assembly	325174	na
S000000030	unplaced-scaffold	na	na	JAEOAB010000079.1	=	NW_024872783.1	Primary Assembly	278051	na
S000000031	unplaced-scaffold	na	na	JAEOAB010000080.1	=	NW_024872784.1	Primary Assembly	54840	na
S000000032	unplaced-scaffold	na	na	JAEOAB010000081.1	=	NW_024872785.1	Primary Assembly	17306	na
S000000033	unplaced-scaffold	na	na	JAEOAB010000082.1	=	NW_024872786.1	Primary Assembly	2884	na
S000000034	unplaced-scaffold	na	na	JAEOAB010000083.1	=	NW_024872787.1	Primary Assembly	6648	na
S000000035	unplaced-scaffold	na	na	JAEOAB010000084.1	=	NW_024872788.1	Primary Assembly	18695	na
S000000036	unplaced-scaffold	na	na	JAEOAB010000085.1	=	NW_024872789.1	Primary Assembly	38499	na
S000000037	unplaced-scaffold	na	na	JAEOAB010000086.1	=	NW_024872790.1	Primary Assembly	15657	na
S000000038	unplaced-scaffold	na	na	JAEOAB010000087.1	=	NW_024872791.1	Primary Assembly	648	na
S000000039	unplaced-scaffold	na	na	JAEOAB010000088.1	=	NW_024872792.1	Primary Assembly	6198	na
S000000040	unplaced-scaffold	na	na	JAEOAB010000089.1	=	NW_024872793.1	Primary Assembly	10531	na
S000000041	unplaced-scaffold	na	na	JAEOAB010000090.1	=	NW_024872794.1	Primary Assembly	187387	na
S000000042	unplaced-scaffold	na	na	JAEOAB010000091.1	=	NW_024872795.1	Primary Assembly	22717	na
S000000043	unplaced-scaffold	na	na	JAEOAB010000092.1	=	NW_024872796.1	Primary Assembly	18335	na
S000000044	unplaced-scaffold	na	na	JAEOAB010000093.1	=	NW_024872797.1	Primary Assembly	16669	na
S000000045	unplaced-scaffold	na	na	JAEOAB010000094.1	=	NW_024872798.1	Primary Assembly	13961	na
S000000046	unplaced-scaffold	na	na	JAEOAB010000095.1	=	NW_024872799.1	Primary Assembly	7838	na
S000000047	unplaced-scaffold	na	na	JAEOAB010000096.1	=	NW_024872800.1	Primary Assembly	11663	na
S000000048	unplaced-scaffold	na	na	JAEOAB010000097.1	=	NW_024872801.1	Primary Assembly	353	na
S000000049	unplaced-scaffold	na	na	JAEOAB010000098.1	=	NW_024872802.1	Primary Assembly	5172	na
S000000050	unplaced-scaffold	na	na	JAEOAB010000099.1	=	NW_024872803.1	Primary Assembly	5118	na
S000000051	unplaced-scaffold	na	na	JAEOAB010000100.1	=	NW_024872804.1	Primary Assembly	20560	na
S000000052	unplaced-scaffold	na	na	JAEOAB010000101.1	=	NW_024872805.1	Primary Assembly	3847	na
S000000053	unplaced-scaffold	na	na	JAEOAB010000102.1	=	NW_024872806.1	Primary Assembly	9908	na
S000000054	unplaced-scaffold	na	na	JAEOAB010000103.1	=	NW_024872807.1	Primary Assembly	1654	na
S000000055	unplaced-scaffold	na	na	JAEOAB010000104.1	=	NW_024872808.1	Primary Assembly	12476	na
S000000056	unplaced-scaffold	na	na	JAEOAB010000105.1	=	NW_024872809.1	Primary Assembly	2354	na
S000000057	unplaced-scaffold	na	na	JAEOAB010000106.1	=	NW_024872810.1	Primary Assembly	6334	na
S000000058	unplaced-scaffold	na	na	JAEOAB010000107.1	=	NW_024872811.1	Primary Assembly	31318	na
S000000059	unplaced-scaffold	na	na	JAEOAB010000108.1	=	NW_024872812.1	Primary Assembly	682	na
S000000060	unplaced-scaffold	na	na	JAEOAB010000109.1	=	NW_024872813.1	Primary Assembly	1747	na
S000000061	unplaced-scaffold	na	na	JAEOAB010000110.1	=	NW_024872814.1	Primary Assembly	6362	na
S000000062	unplaced-scaffold	na	na	JAEOAB010000111.1	=	NW_024872815.1	Primary Assembly	4931	na
S000000063	unplaced-scaffold	na	na	JAEOAB010000112.1	=	NW_024872816.1	Primary Assembly	4867	na
S000000064	unplaced-scaffold	na	na	JAEOAB010000113.1	=	NW_024872817.1	Primary Assembly	5471	na
S000000065	unplaced-scaffold	na	na	JAEOAB010000114.1	=	NW_024872818.1	Primary Assembly	3993	na
S000000066	unplaced-scaffold	na	na	JAEOAB010000115.1	=	NW_024872819.1	Primary Assembly	9819	na
S000000067	unplaced-scaffold	na	na	JAEOAB010000116.1	=	NW_024872820.1	Primary Assembly	1700	na
S000000068	unplaced-scaffold	na	na	JAEOAB010000117.1	=	NW_024872821.1	Primary Assembly	5907	na
S000000069	unplaced-scaffold	na	na	JAEOAB010000118.1	=	NW_024872822.1	Primary Assembly	2350	na
S000000070	unplaced-scaffold	na	na	JAEOAB010000119.1	=	NW_024872823.1	Primary Assembly	14498	na
S000000071	unplaced-scaffold	na	na	JAEOAB010000120.1	=	NW_024872824.1	Primary Assembly	16703	na
S000000072	unplaced-scaffold	na	na	JAEOAB010000121.1	=	NW_024872825.1	Primary Assembly	9526	na
S000000073	unplaced-scaffold	na	na	JAEOAB010000122.1	=	NW_024872826.1	Primary Assembly	1948	na
S000000074	unplaced-scaffold	na	na	JAEOAB010000123.1	=	NW_024872827.1	Primary Assembly	3472	na
S000000075	unplaced-scaffold	na	na	JAEOAB010000124.1	=	NW_024872828.1	Primary Assembly	2141	na
S000000076	unplaced-scaffold	na	na	JAEOAB010000125.1	=	NW_024872829.1	Primary Assembly	1594	na
S000000077	unplaced-scaffold	na	na	JAEOAB010000126.1	=	NW_024872830.1	Primary Assembly	1934	na
S000000078	unplaced-scaffold	na	na	JAEOAB010000127.1	=	NW_024872831.1	Primary Assembly	7667	na
S000000079	unplaced-scaffold	na	na	JAEOAB010000128.1	=	NW_024872832.1	Primary Assembly	7725	na
S000000080	unplaced-scaffold	na	na	JAEOAB010000129.1	=	NW_024872833.1	Primary Assembly	3604	na
S000000081	unplaced-scaffold	na	na	JAEOAB010000130.1	=	NW_024872834.1	Primary Assembly	1843	na
S000000082	unplaced-scaffold	na	na	JAEOAB010000131.1	=	NW_024872835.1	Primary Assembly	5263	na
S000000083	unplaced-scaffold	na	na	JAEOAB010000132.1	=	NW_024872836.1	Primary Assembly	8091	na
S000000084	unplaced-scaffold	na	na	JAEOAB010000133.1	=	NW_024872837.1	Primary Assembly	3870	na
S000000085	unplaced-scaffold	na	na	JAEOAB010000134.1	=	NW_024872838.1	Primary Assembly	686	na
S000000086	unplaced-scaffold	na	na	JAEOAB010000135.1	=	NW_024872839.1	Primary Assembly	84440	na
S000000087	unplaced-scaffold	na	na	JAEOAB010000136.1	=	NW_024872840.1	Primary Assembly	20335	na
S000000088	unplaced-scaffold	na	na	JAEOAB010000137.1	=	NW_024872841.1	Primary Assembly	11109	na
S000000090	unplaced-scaffold	na	na	JAEOAB010000138.1	=	NW_024872842.1	Primary Assembly	4819	na
S000000091	unplaced-scaffold	na	na	JAEOAB010000139.1	=	NW_024872843.1	Primary Assembly	1928	na
S000000092	unplaced-scaffold	na	na	JAEOAB010000140.1	=	NW_024872844.1	Primary Assembly	2021	na
S000000093	unplaced-scaffold	na	na	JAEOAB010000141.1	=	NW_024872845.1	Primary Assembly	25436	na
S000000094	unplaced-scaffold	na	na	JAEOAB010000142.1	=	NW_024872846.1	Primary Assembly	29446	na
S000000095	unplaced-scaffold	na	na	JAEOAB010000143.1	=	NW_024872847.1	Primary Assembly	17610	na
S000000096	unplaced-scaffold	na	na	JAEOAB010000144.1	=	NW_024872848.1	Primary Assembly	30155	na
S000000097	unplaced-scaffold	na	na	JAEOAB010000145.1	=	NW_024872849.1	Primary Assembly	37564	na
S000000098	unplaced-scaffold	na	na	JAEOAB010000146.1	=	NW_024872850.1	Primary Assembly	26557	na
S000000099	unplaced-scaffold	na	na	JAEOAB010000147.1	=	NW_024872851.1	Primary Assembly	25969	na
S000000100	unplaced-scaffold	na	na	JAEOAB010000148.1	=	NW_024872852.1	Primary Assembly	25426	na
S000000101	unplaced-scaffold	na	na	JAEOAB010000149.1	=	NW_024872853.1	Primary Assembly	21357	na
S000000102	unplaced-scaffold	na	na	JAEOAB010000150.1	=	NW_024872854.1	Primary Assembly	1844	na
S000000103	unplaced-scaffold	na	na	JAEOAB010000151.1	=	NW_024872855.1	Primary Assembly	22559	na
S000000104	unplaced-scaffold	na	na	JAEOAB010000152.1	=	NW_024872856.1	Primary Assembly	1804	na
S000000105	unplaced-scaffold	na	na	JAEOAB010000153.1	=	NW_024872857.1	Primary Assembly	23580	na
S000000106	unplaced-scaffold	na	na	JAEOAB010000154.1	=	NW_024872858.1	Primary Assembly	22903	na
S000000108	unplaced-scaffold	na	na	JAEOAB010000155.1	=	NW_024872859.1	Primary Assembly	22690	na
S000000109	unplaced-scaffold	na	na	JAEOAB010000156.1	=	NW_024872860.1	Primary Assembly	31477	na
S000000110	unplaced-scaffold	na	na	JAEOAB010000157.1	=	NW_024872861.1	Primary Assembly	21041	na
S000000111	unplaced-scaffold	na	na	JAEOAB010000158.1	=	NW_024872862.1	Primary Assembly	21037	na
S000000112	unplaced-scaffold	na	na	JAEOAB010000159.1	=	NW_024872863.1	Primary Assembly	20705	na
S000000113	unplaced-scaffold	na	na	JAEOAB010000160.1	=	NW_024872864.1	Primary Assembly	18982	na
S000000114	unplaced-scaffold	na	na	JAEOAB010000161.1	=	NW_024872865.1	Primary Assembly	4212	na
S000000115	unplaced-scaffold	na	na	JAEOAB010000162.1	=	NW_024872866.1	Primary Assembly	18889	na
S000000116	unplaced-scaffold	na	na	JAEOAB010000163.1	=	NW_024872867.1	Primary Assembly	20052	na
S000000117	unplaced-scaffold	na	na	JAEOAB010000164.1	=	NW_024872868.1	Primary Assembly	17527	na
S000000118	unplaced-scaffold	na	na	JAEOAB010000165.1	=	NW_024872869.1	Primary Assembly	17346	na
S000000119	unplaced-scaffold	na	na	JAEOAB010000166.1	=	NW_024872870.1	Primary Assembly	24205	na
S000000120	unplaced-scaffold	na	na	JAEOAB010000167.1	=	NW_024872871.1	Primary Assembly	17128	na
S000000121	unplaced-scaffold	na	na	JAEOAB010000168.1	=	NW_024872872.1	Primary Assembly	17588	na
S000000122	unplaced-scaffold	na	na	JAEOAB010000169.1	=	NW_024872873.1	Primary Assembly	16787	na
S000000123	unplaced-scaffold	na	na	JAEOAB010000170.1	=	NW_024872874.1	Primary Assembly	11660	na
S000000124	unplaced-scaffold	na	na	JAEOAB010000171.1	=	NW_024872875.1	Primary Assembly	3783	na
S000000125	unplaced-scaffold	na	na	JAEOAB010000172.1	=	NW_024872876.1	Primary Assembly	16045	na
S000000126	unplaced-scaffold	na	na	JAEOAB010000173.1	=	NW_024872877.1	Primary Assembly	15510	na
S000000127	unplaced-scaffold	na	na	JAEOAB010000174.1	=	NW_024872878.1	Primary Assembly	15405	na
S000000128	unplaced-scaffold	na	na	JAEOAB010000175.1	=	NW_024872879.1	Primary Assembly	13110	na
S000000129	unplaced-scaffold	na	na	JAEOAB010000176.1	=	NW_024872880.1	Primary Assembly	5101	na
S000000130	unplaced-scaffold	na	na	JAEOAB010000177.1	=	NW_024872881.1	Primary Assembly	14649	na
S000000131	unplaced-scaffold	na	na	JAEOAB010000178.1	=	NW_024872882.1	Primary Assembly	12142	na
S000000132	unplaced-scaffold	na	na	JAEOAB010000179.1	=	NW_024872883.1	Primary Assembly	14670	na
S000000133	unplaced-scaffold	na	na	JAEOAB010000180.1	=	NW_024872884.1	Primary Assembly	14227	na
S000000134	unplaced-scaffold	na	na	JAEOAB010000181.1	=	NW_024872885.1	Primary Assembly	13024	na
S000000135	unplaced-scaffold	na	na	JAEOAB010000182.1	=	NW_024872886.1	Primary Assembly	12514	na
S000000136	unplaced-scaffold	na	na	JAEOAB010000183.1	=	NW_024872887.1	Primary Assembly	12861	na
S000000137	unplaced-scaffold	na	na	JAEOAB010000184.1	=	NW_024872888.1	Primary Assembly	11969	na
S000000138	unplaced-scaffold	na	na	JAEOAB010000185.1	=	NW_024872889.1	Primary Assembly	12113	na
S000000139	unplaced-scaffold	na	na	JAEOAB010000186.1	=	NW_024872890.1	Primary Assembly	12465	na
S000000140	unplaced-scaffold	na	na	JAEOAB010000187.1	=	NW_024872891.1	Primary Assembly	10806	na
S000000141	unplaced-scaffold	na	na	JAEOAB010000188.1	=	NW_024872892.1	Primary Assembly	10723	na
S000000142	unplaced-scaffold	na	na	JAEOAB010000189.1	=	NW_024872893.1	Primary Assembly	10733	na
S000000143	unplaced-scaffold	na	na	JAEOAB010000190.1	=	NW_024872894.1	Primary Assembly	11100	na
S000000144	unplaced-scaffold	na	na	JAEOAB010000191.1	=	NW_024872895.1	Primary Assembly	8846	na
S000000145	unplaced-scaffold	na	na	JAEOAB010000192.1	=	NW_024872896.1	Primary Assembly	5779	na
S000000146	unplaced-scaffold	na	na	JAEOAB010000193.1	=	NW_024872897.1	Primary Assembly	9713	na
S000000147	unplaced-scaffold	na	na	JAEOAB010000194.1	=	NW_024872898.1	Primary Assembly	8702	na
S000000148	unplaced-scaffold	na	na	JAEOAB010000195.1	=	NW_024872899.1	Primary Assembly	13006	na
S000000149	unplaced-scaffold	na	na	JAEOAB010000196.1	=	NW_024872900.1	Primary Assembly	12527	na
S000000150	unplaced-scaffold	na	na	JAEOAB010000197.1	=	NW_024872901.1	Primary Assembly	16595	na
S000000151	unplaced-scaffold	na	na	JAEOAB010000198.1	=	NW_024872902.1	Primary Assembly	7567	na
S000000152	unplaced-scaffold	na	na	JAEOAB010000199.1	=	NW_024872903.1	Primary Assembly	6809	na
S000000153	unplaced-scaffold	na	na	JAEOAB010000200.1	=	NW_024872904.1	Primary Assembly	6015	na
S000000154	unplaced-scaffold	na	na	JAEOAB010000201.1	=	NW_024872905.1	Primary Assembly	5632	na
S000000155	unplaced-scaffold	na	na	JAEOAB010000202.1	=	NW_024872906.1	Primary Assembly	4845	na
S000000156	unplaced-scaffold	na	na	JAEOAB010000203.1	=	NW_024872907.1	Primary Assembly	1850	na
S000000157	unplaced-scaffold	na	na	JAEOAB010000204.1	=	NW_024872908.1	Primary Assembly	5114	na
S000000158	unplaced-scaffold	na	na	JAEOAB010000205.1	=	NW_024872909.1	Primary Assembly	15915	na
S000000159	unplaced-scaffold	na	na	JAEOAB010000206.1	=	NW_024872910.1	Primary Assembly	18760	na
S000000160	unplaced-scaffold	na	na	JAEOAB010000207.1	=	NW_024872911.1	Primary Assembly	5144	na
S000000161	unplaced-scaffold	na	na	JAEOAB010000208.1	=	NW_024872912.1	Primary Assembly	10891	na
S000000162	unplaced-scaffold	na	na	JAEOAB010000209.1	=	NW_024872913.1	Primary Assembly	4120	na
S000000163	unplaced-scaffold	na	na	JAEOAB010000210.1	=	NW_024872914.1	Primary Assembly	4944	na
S000000164	unplaced-scaffold	na	na	JAEOAB010000211.1	=	NW_024872915.1	Primary Assembly	8632	na
S000000165	unplaced-scaffold	na	na	JAEOAB010000212.1	=	NW_024872916.1	Primary Assembly	2770	na
S000000166	unplaced-scaffold	na	na	JAEOAB010000213.1	=	NW_024872917.1	Primary Assembly	3598	na
S000000167	unplaced-scaffold	na	na	JAEOAB010000214.1	=	NW_024872918.1	Primary Assembly	4575	na
S000000168	unplaced-scaffold	na	na	JAEOAB010000215.1	=	NW_024872919.1	Primary Assembly	1751377	na
S000000169	unplaced-scaffold	na	na	JAEOAB010000216.1	=	NW_024872920.1	Primary Assembly	858187	na
S000000170	unplaced-scaffold	na	na	JAEOAB010000217.1	=	NW_024872921.1	Primary Assembly	552441	na
S000000171	unplaced-scaffold	na	na	JAEOAB010000218.1	=	NW_024872922.1	Primary Assembly	269158	na
S000000172	unplaced-scaffold	na	na	JAEOAB010000219.1	=	NW_024872923.1	Primary Assembly	193759	na
S000000174	unplaced-scaffold	na	na	JAEOAB010000220.1	=	NW_024872924.1	Primary Assembly	1897	na
S000000175	unplaced-scaffold	na	na	JAEOAB010000221.1	=	NW_024872925.1	Primary Assembly	3197	na
S000000176	unplaced-scaffold	na	na	JAEOAB010000222.1	=	NW_024872926.1	Primary Assembly	1844	na
S000000177	unplaced-scaffold	na	na	JAEOAB010000223.1	=	NW_024872927.1	Primary Assembly	1676	na
S000000178	unplaced-scaffold	na	na	JAEOAB010000224.1	=	NW_024872928.1	Primary Assembly	1655	na
S000000179	unplaced-scaffold	na	na	JAEOAB010000225.1	=	NW_024872929.1	Primary Assembly	2493	na
S000000180	unplaced-scaffold	na	na	JAEOAB010000226.1	=	NW_024872930.1	Primary Assembly	3589	na
S000000181	unplaced-scaffold	na	na	JAEOAB010000227.1	=	NW_024872931.1	Primary Assembly	10361	na
S000000182	unplaced-scaffold	na	na	JAEOAB010000228.1	=	NW_024872932.1	Primary Assembly	3938	na
S000000183	unplaced-scaffold	na	na	JAEOAB010000229.1	=	NW_024872933.1	Primary Assembly	1158	na
S000000184	unplaced-scaffold	na	na	JAEOAB010000230.1	=	NW_024872934.1	Primary Assembly	1897	na
S000000185	unplaced-scaffold	na	na	JAEOAB010000231.1	=	NW_024872935.1	Primary Assembly	2147	na
S000000186	unplaced-scaffold	na	na	JAEOAB010000232.1	=	NW_024872936.1	Primary Assembly	8525	na
S000000187	unplaced-scaffold	na	na	JAEOAB010000233.1	=	NW_024872937.1	Primary Assembly	5722	na
S000000188	unplaced-scaffold	na	na	JAEOAB010000234.1	=	NW_024872938.1	Primary Assembly	31992	na
